Caller,Callee,ReturnType,Package,IsInternal,ArgCount,Line
org.springframework.samples.petclinic.owner.OwnerController#addPaginationModel,org.springframework.data.domain.Page#getTotalPages,void,org.springframework.samples.petclinic.owner,false,0,124
org.springframework.samples.petclinic.owner.OwnerController#addPaginationModel,org.springframework.ui.Model#addAttribute,void,org.springframework.samples.petclinic.owner,false,2,125
org.springframework.samples.petclinic.owner.OwnerController#addPaginationModel,org.springframework.data.domain.Page#getTotalElements,void,org.springframework.samples.petclinic.owner,false,0,125
org.springframework.samples.petclinic.owner.OwnerController#addPaginationModel,org.springframework.ui.Model#addAttribute,void,org.springframework.samples.petclinic.owner,false,2,126
org.springframework.samples.petclinic.owner.OwnerController#findPaginatedForOwnersLastName,org.springframework.data.domain.PageRequest#of,org.springframework.data.domain.Pageable,org.springframework.samples.petclinic.owner,false,2,132
org.springframework.samples.petclinic.owner.OwnerController#findPaginatedForOwnersLastName,org.springframework.samples.petclinic.owner.OwnerRepository#findByLastNameStartingWith,org.springframework.data.domain.Page,org.springframework.samples.petclinic.owner,true,2,133
org.springframework.samples.petclinic.owner.OwnerController#processUpdateOwnerForm,org.springframework.validation.BindingResult#hasErrors,boolean,org.springframework.samples.petclinic.owner,false,0,144
org.springframework.samples.petclinic.owner.OwnerController#processUpdateOwnerForm,org.springframework.web.servlet.mvc.support.RedirectAttributes#addFlashAttribute,void,org.springframework.samples.petclinic.owner,false,2,145
org.springframework.samples.petclinic.owner.OwnerController#processUpdateOwnerForm,java.util.Objects#equals,boolean,org.springframework.samples.petclinic.owner,false,2,149
org.springframework.samples.petclinic.owner.OwnerController#processUpdateOwnerForm,org.springframework.samples.petclinic.model.BaseEntity#getId,java.lang.Integer,org.springframework.samples.petclinic.owner,true,0,149
org.springframework.samples.petclinic.owner.OwnerController#processUpdateOwnerForm,org.springframework.validation.BindingResult#rejectValue,void,org.springframework.samples.petclinic.owner,false,3,150
org.springframework.samples.petclinic.owner.OwnerController#processUpdateOwnerForm,org.springframework.web.servlet.mvc.support.RedirectAttributes#addFlashAttribute,void,org.springframework.samples.petclinic.owner,false,2,151
org.springframework.samples.petclinic.owner.OwnerController#processUpdateOwnerForm,org.springframework.samples.petclinic.model.BaseEntity#setId,void,org.springframework.samples.petclinic.owner,true,1,155
org.springframework.samples.petclinic.owner.OwnerController#processUpdateOwnerForm,UNKNOWN,void,org.springframework.samples.petclinic.owner,false,1,156
org.springframework.samples.petclinic.owner.OwnerController#processUpdateOwnerForm,org.springframework.web.servlet.mvc.support.RedirectAttributes#addFlashAttribute,void,org.springframework.samples.petclinic.owner,false,2,157
org.springframework.samples.petclinic.owner.OwnerController#showOwner,org.springframework.samples.petclinic.owner.OwnerRepository#findById,java.util.Optional,org.springframework.samples.petclinic.owner,true,1,169
org.springframework.samples.petclinic.owner.OwnerController#showOwner,java.util.Optional#orElseThrow,org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner,false,1,170
org.springframework.samples.petclinic.owner.OwnerController#showOwner,org.springframework.web.servlet.ModelAndView#addObject,void,org.springframework.samples.petclinic.owner,false,1,172
org.springframework.samples.petclinic.owner.Pet#addVisit,java.util.Collection#add,boolean,org.springframework.samples.petclinic.owner,false,1,82
org.springframework.samples.petclinic.owner.Pet#addVisit,org.springframework.samples.petclinic.owner.Pet#getVisits,java.util.Collection,org.springframework.samples.petclinic.owner,true,0,82
org.springframework.samples.petclinic.owner.PetController#populatePetTypes,org.springframework.samples.petclinic.owner.PetTypeRepository#findPetTypes,java.util.List,org.springframework.samples.petclinic.owner,true,0,63
org.springframework.samples.petclinic.owner.PetController#findOwner,org.springframework.samples.petclinic.owner.OwnerRepository#findById,java.util.Optional,org.springframework.samples.petclinic.owner,true,1,68
org.springframework.samples.petclinic.owner.PetController#findOwner,java.util.Optional#orElseThrow,org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner,false,1,69
org.springframework.samples.petclinic.owner.PetController#findPet,org.springframework.samples.petclinic.owner.OwnerRepository#findById,java.util.Optional,org.springframework.samples.petclinic.owner,true,1,82
org.springframework.samples.petclinic.owner.PetController#findPet,java.util.Optional#orElseThrow,org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner,false,1,83
org.springframework.samples.petclinic.owner.PetController#findPet,org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner,true,1,85
org.springframework.samples.petclinic.owner.PetController#initOwnerBinder,org.springframework.web.bind.WebDataBinder#setDisallowedFields,void,org.springframework.samples.petclinic.owner,false,1,90
org.springframework.samples.petclinic.owner.PetController#initPetBinder,org.springframework.web.bind.WebDataBinder#setValidator,void,org.springframework.samples.petclinic.owner,false,1,95
org.springframework.samples.petclinic.owner.PetController#initCreationForm,org.springframework.samples.petclinic.owner.Owner#addPet,void,org.springframework.samples.petclinic.owner,true,1,101
org.springframework.samples.petclinic.owner.PetController#processCreationForm,org.springframework.util.StringUtils#hasText,void,org.springframework.samples.petclinic.owner,false,1,109
org.springframework.samples.petclinic.owner.PetController#processCreationForm,org.springframework.samples.petclinic.model.NamedEntity#getName,java.lang.String,org.springframework.samples.petclinic.owner,true,0,109
org.springframework.samples.petclinic.owner.PetController#processCreationForm,org.springframework.samples.petclinic.model.BaseEntity#isNew,boolean,org.springframework.samples.petclinic.owner,true,0,109
org.springframework.samples.petclinic.owner.PetController#processCreationForm,org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner,true,2,109
